Country,Name,Description,City,Founders,Funding,Funding rounds,Industries,Number of employees,Number of investors,Started in
Portugal,1) Unbabel,Unbabel enables modern businesses to communicate in dozens of languages and to be understood by their customers.,Lisbon,"Bruno Prezado, Hugo Silva, João Graça, Sofia Pessanha, Vasco Pedro","$91,180,004",7,"Artificial Intelligence, B2B, Machine Learning, Natural Language Processing, Translation Service",101-250,"37 (Salesforce Ventures, FundersClub, Wefunder, GV, Y Combinator)",2013
Portugal,2) Balancer Labs,"Balancer Labs is a price sensor, liquidity provider, and non-custodial portfolio manager.",Lisbon,Fernando Martinelli,"$32,250,000",3,Financial Services,1-10,"12 (Blockchain Capital, LongHash Ventures, Alameda Research, Pantera Capital, Fenbushi Capital)",2018
Portugal,3) Utrust,The simplest way to pay with crypto and accept it. The money of the future has arrived.,Lisbon,"Artur Goulão, Filipe Castro, Nuno Correia, Roberto Machado","$21,000,000",4,"Cryptocurrency, E-Commerce, FinTech, Mobile Payments, Payments",11-50,"3 (Alchemist Accelerator, Andreas Schwartz, Henry Rouquairol)",2017
Portugal,4) Virtuleap,Virtuleap uses virtual reality to improve brain health.,Lisbon,"Amir Bozorgzadeh, Hossein Jalali, Roland Dubois, Thomas Balouet","$1,124,500",7,"Apps, Big Data, Biometrics, Education, Edutainment, Fitness, Health Care, Home Health Care, Wellness",11-50,"9 (Entrepreneurs Roundtable Accelerator, StartUp Health, Boost VC, Hackquarters, Innovation Global Capital)",2018
Portugal,5) Barkyn,"For pets, an all-inclusive subscription is available.",Matosinhos,Andre Jordao,"$12,376,357",5,"E-Commerce, Internet",11-50,"7 (All Iron Ventures, Portugal Ventures, Five Seasons Ventures, Shilling, Indico Capital Partners)",2017
Portugal,6) Kitch,Providing restaurants with the ability to sell their dishes online on their own terms.,Lisbon,"Nuno Rodrigues, Rui Bento","€ 4,250,000",2,Food Delivery,11-50,"8 (Seedcamp, Atlantic Food Labs, Market One Capital, Mustard Seed MAZE, Keys Asset Management)",2019
Portugal,7) Sensei,"Sensei provides a scalable, seamless store-wide solution that enables future stores to be cashless and check-out free.",Lisbon,"Joana Rafael, Nuno Moutinho, Paulo Carreira, Vasco Portugal","€ 6,100,000",4,"Analytics, Artificial Intelligence, Computer Vision, Retail, Retail Technology",11-50,"10 (Techstars, Seaya Ventures, Sonae IM, LeadX Capital Partners, METRO Xcel)",2017
Portugal,8) DocDigitizer,"DocDigitizer is a Cognitive Data Capture SaaS with SLAs guaranteeing 100 percent accuracy, zero set-up, and full Pay-per-Use pricing.",Lisbon,"Gonçalo Caeiro, João Fernandes","€ 390,000",2,"Artificial Intelligence, Document Management, FinTech, Machine Learning, SaaS, Software",11-50,1 (Joyn Ventures),2017
Portugal,9) Coverflex,"For modern businesses, flexible remuneration is essential.",Braga,"Luis Rocha, Luis Rocha, Miguel Santo Amaro, Nuno Pinto, Rui Carvalho","€ 5,000,000",2,"Debit Cards, Employee Benefits, FinTech, InsurTech",11-50,"5 (Breega, Big Start Ventures, LC Ventures, Beta-i, 200M)",2019
Portugal,10) Ethiack,Ethiack performs offensive security tests 24/7 with +99% accuracy by combining AI and Ethical Hackers to identify vulnerabilities in digital systems.,Coimbra,"André Baptista, Jorge Monteiro",,,Cybersecurity,8,"2 (SWG, Core Angels)",2022
Portugal,11) BIZAY / 360imprimir,"Building the world's most technologically advanced B2B marketplace, powered by innovative supply chain technologies. One million small businesses in five years. 2019 revenue of 30 million euros",Torres Vedras,"Diogo Silva, Jorge Correia, José Salgado, Sérgio Vieira","$63,851,133",5,"B2B, Made to Order",101-250,"8 (European Investment Bank, Omnes Capital, Shilling, Indico Capital Partners, LeadX Capital Partners)",2014
Portugal,12) GoParity,Personal finance and investing tool that links individuals and businesses with nonprofits seeking financing for sustainable projects.,Lisbon,Nuno Brito Jorge,"€ 900,000",5,"CleanTech, Crowdfunding, FinTech, Sustainability",1-10,"2 (Mustard Seed MAZE, Critical Software)",2017
Portugal,13) Infraspeak,Facility management software from Infraspeak speeds up and simplifies the process of registering and transmitting data.,Porto,"Felipe Ávila da Costa, Luís Martins","$5,441,117",3,"Communication Hardware, Information Technology, Software",51-100,"7 (Tencent, 500 Startups, Firstminute Capital, Indico Capital Partners, Innovation Nest)",2015
Portugal,14) Aptoide,"Aptoide is a self-contained Android app store that lets developers, OEMs, telcos, and integrators to construct and operate their own stores.",Lisboa,"Alvaro Pinto, Inês Rola, Paulo Trezentos","$25,872,845",6,"Android, App Discovery, Enterprise Software, Mobile",51-100,"6 (Golden Gate, Headline, Portugal Ventures, Centro de Incubação de Évora, Gobi Partners)",2011
Portugal,15) CASAFARI,Casafari keeps track of the entire real estate market by combining and matching listings from various sources.,Lisbon,"Dmitry Moskalchuk, Mila Suharev, Nils Henning","€ 5,000,000",1,Real Estate,51-100,"14 (Lakestar, Bynd Venture Capital, Shilling, Jon Soberg, Alexis Bonte)",2017
Portugal,16) Didimo,"Didimo is the world's top platform for creating high-fidelity, user-based digital human avatars automatically.",Leça Da Palmeira,Veronica Costa Orvalho,"$8,778,982",6,"3D Technology, Artificial Intelligence, Computer, Digital Entertainment, Information Technology, Software, Virtual Reality",11-50,"12 (Techstars, Farfetch, Portugal Ventures, EASME - EU Executive Agency for SMEs, Bynd Venture Capital)",2016
Portugal,17) BrainTrust,Braintrust is a business angels club based in Europe that focuses on early-stage firms.,Lisbon,,"$5,000,000",,,11-50,,
Portugal,18) Collab,Collab was built on a straightforward mission: to provide disruptive innovation to enterprise contact centers.,Lisbon,,"$3,000,000",,,101-250,,
Portugal,19) Stratio Automotive,We're utilizing machine learning to automate anomaly and problem detection by combining automotive engineering and scientific research.,Lisbon,,"$3,365,458",,,51-100,,
Portugal,20) Swogo,Swogo helps the world's most successful merchants enhance their margins by powering bundle recommendations.,Lisbon,,"$1,837,098",,,11-50,,
Portugal,21) Pleez,Startup in the food-tech industry,Lisbon,,,,,1-10,,
Portugal,22) Forall Phones,We're on a mission to make premium technology accessible to everyone while also inspiring them to live happier lives.,Lisbon,,"$5,034,734",,,51-100,,
Portugal,23) EatTasty,EatTasty outsources the manufacturing of its daily lunch meals for hyperlocal delivery to underutilized kitchen space.,Lisbon,,"$2,370,357",,,11-50,,
Portugal,24) Probely,Probely is a web vulnerability scanning tool that is aimed at businesses that create online services.,Lisbon,,"$1,443,888",,,11-50,,
Portugal,25) Mapidea,"Mapidea is a location intelligence software as a service (SaaS) for smart businesses (not GIS experts). There is no IT, no setup, and excellent analytics.",Lisbon,,"$552,162",,,1-10,,
Portugal,26) Zaask,Zaask is a revolutionary new method to find and employ local service workers.,Lisbon,,"$2,647,728",,,11-50,,
Portugal,27) GuestU,"The GuestU Phone is the ideal smartphone for hotel visitors. A dream amenity that provides free wifi, concierge services, and controls smart devices for visitors.",Lisbon,,"$3,084,643",,,11-50,,
Portugal,28) Landing.jobs,We're a candidate-driven tech employment marketplace that connects the top tech talent with the best employers.,Lisbon,,"$3,066,950",,,11-50,,
Portugal,29) 20tree,"20tree uses artificial intelligence (AI), satellite photography, and computing power to assist forest industry firms, NGOs, and governments in making better decisions.",Lisbon,,"$120,000",,,1-10,,
Portugal,30) Climber,"For small hotel chains, Climber is a Revenue Management Software.",Lisbon,,"$541,928",,,11-50,,
Portugal,31) Glartek,"An industrial IoT platform that grants superpowers through augmented reality, allowing you to save time and money in your business.",Lisbon,,"$3,447,295",,,11-50,,
Portugal,32) Muzzley,"Muzzley is a complete SaaS and PaaS solution for consumer IoT, as well as a single intelligent entry point for connected devices.",Lisbon,,"$4,896,500",,,11-50,,
Portugal,33) Noesis,NOESIS is a Portuguese IT consulting firm that specializes in helping businesses improve their competitiveness.,Lisbon,,"$25,500,001",,,11-50,,
Portugal,34) GetSocial,GetSocial is a social analytics software that assists content providers in making more informed decisions about which stories to share on social media.,Lisbon,,"$848,938",,,1-10,,
Portugal,35) advertio,"By building a performance advertising platform, Advertio hopes to set a new standard in digital advertising.",Lisbon,,"$725,000",,,11-50,,
Portugal,36) Cuckuu,"Cuckuu is a free iOS and Android mobile app. Cuckuu is a new, innovative, social alarm clock that you may use every day!",Lisbon,,"$1,164,771",,,11-50,,
Portugal,37) Mobiag,Mobiag creates and sells SaaS-based operations management software for carsharing firms.,Lisbon,,"$55,691",,,11-50,,
Portugal,38) HiJiffy,"For the hospitality industry, there is a Messenger Concierge.",Lisbon,,"$349,597",,,1-10,,
Portugal,39) Vawlt Technologies,Vawlt is a dynamic storage platform that makes managing numerous clouds easier while also boosting data security.,Lisbon,,"$560,167",,,1-10,,
Portugal,40) Jungle,Jungle employs custom AI models to identify underperforming assets and predict when they will fail.,Lisbon,,"$125,000",,,1-10,,
Portugal,41) FarmCloud,"Retrofit local offline livestock controls to the Internet of Things with a plug-and-play solution for any brand of climatic, feed, and weight computers.",Lisbon,,"$552,580",,,1-10,,
Portugal,42) Visor.ai,Visor.ai uses artificial intelligence and chatbots to help businesses automate interactions.,Lisbon,,"$127,169",,,1-10,,
Portugal,43) Codeplace,Codeplace teaches you web programming by guiding you through the creation of real software projects from start to finish.,Lisbon,,"$868,312",,,1-10,,
Portugal,44) UpHill,Healthcare teams receive clinical training and analysis.,Lisbon,,"$735,063",,,1-10,,
Portugal,45) Tap My Back,"Managers can use Tap My Back to boost employee engagement, workplace performance, and team motivation by using employee recognition software.",Lisbon,,"$66,036",,,1-10,,
Portugal,46) AKTO,"In Sport and eSport contexts, a technology-based e-learning platform with a gamification approach to teaching is available.",Lisbon,,"$341,054",,,1-10,,
Portugal,47) Charge2C-NewCap,C2C-NewCap intends to create high-efficiency energy solutions by developing next-generation devices for storing electrical energy.,Lisbon,,"$221,804",,,1-10,,
Portugal,48) Platforme,Platforme is the new industry standard for custom manufacturing (MTO).,Porto,,"$16,635,984",,,11-50,,
Portugal,49) Jscrambler,Jscrambler is the most popular client-side security solution for protecting JavaScript and monitoring webpages in real time.,Porto,,"$2,300,000",,,11-50,,
Portugal,50) Xhockware,Xhockware is a start-up that provides unique retail solutions and brings online goods into real stores.,Porto,,"$4,526,623",,,11-50,,
Portugal,51) Nonius Hospitality Technology,Manufacturer and service provider of hospitality technology.,Porto,,"$8,129,323",,,101-250,,
Portugal,52) beamian,beamian is a platform for event management.,Porto,,"$906,199",,,1-10,,
Portugal,53) MyDidimo,MyDidimo aims to make technology more human by minimizing digital isolation.,Porto,,"$7,608,339",,,11-50,,
Portugal,54) WEEZIE,"WEEZZIE creates FIBERCLOUDTM, a simple, smart, and quick WEB and mobile solution for fiber network planning, design, and management.",Porto,,"$600,109",,,11-50,,
Portugal,55) nBanks,Clients' First Bank. Accounts in aggregate. All financial goods are compared. Take control of banking talks. That time has here.,Porto,,"$234,407",,,1-10,,
Lithuania,1) Vinted,Vinted is a secondhand clothing store and community on the internet.,Vilnius,"Justas Janauskas, Mantas Mikuckas, Milda Mitkute","$562,278,727",6,"E-Commerce, Fashion, Internet, Marketplace, Mobile",501-1000,"9 (Accel, FJ Labs, EQT, Insight Partners, Lightspeed Venture Partners)",2008
Lithuania,2) Interactio,Interactio is a mobile technology that substitutes translation equipment during live events by providing remote simultaneous interpretation.,Vilnius,"Domas Labokas, Henrikas Urbonas, Simona Andrijauskaitė","€ 24,980,000",4,"Apps, Events, Mobile Apps, Productivity Tools, Software",11-50,"9 (Kima Ventures, Storm Ventures, Notion Capital, Eight Roads Ventures, Jaan Tallinn)",2014
Lithuania,3) Affise,Affise is a corporate partnership-building performance marketing tool.,Vilnius,"Dmitri Zotov, Stanislau Litvinau","$9,800,000",3,"Advertising, Affiliate Marketing, Business Intelligence, Enterprise Software, Marketing Automation",101-250,"2 (TMT Investments, LETA Capital)",2016
Lithuania,4) Trafi,Trafi is a mobility-as-a-service platform that helps communities and businesses achieve their objectives by providing shared transportation solutions.,Vilnius,"Algimantas Krasauskas, Dr. Jurgis Pasukonis, Mantas Vizbaras, Martynas Gudonavicius","$14,000,000",4,"Apps, Car Sharing, Information Technology, Mobile, Public Transportation, Ride Sharing, Software, Transportation, Travel",51-100,"7 (European Bank for Reconstruction and Development, Octopus Ventures, Sumitomo Corporation, Practica Capital, Octopus Investments)",2013
Lithuania,5) Bankera,Creating the Bank of the Future in the Blockchain Era,Vilnius,"Justas Dobiliauskas, Mantas Mockevičius, Vytautas Karalevicius","$100,000,000",2,"Banking, Financial Services, FinTech, Payments",101-250,,2017
Lithuania,6) CGTrader,"CGTrader is the world's leading provider of high-quality 3D content for e-commerce, gaming, virtual reality, entertainment, and 3D printing.",Vilnius,"Dalia Lasaite, Marius Kalytis","$12,112,321",4,"3D Printing, 3D Technology, Augmented Reality, E-Commerce, Marketplace",51-100,"5 (Intel Capital, Practica Capital, Karma Ventures, Evli Growth Partners, Baris Aksoy)",2012
Lithuania,7) IDenfy,The iDenfy app allows you to verify your identity online using your smartphone or any other computer device.,Kaunas,"Domantas Čiuldė, Gediminas Ratkevicius","$363,114",4,"Cyber Security, Identity Management, Online Portals, Software",11-50,1 (StartUp HUB Poland),2017
Lithuania,8) ZITICITY,Business Deliveries that are radically faster,Vilnius,"Karolis Januškas, Laimonas Noreika, Vytautas Noreika","€ 2,515,000",4,"Delivery, E-Commerce, Logistics",51-100,"7 (Startup Wise Guys, Practica Capital, Superangel, NordicNinja VC, Superhero Capital)",2017
Lithuania,9) GOSU Data Lab,GOSU Data Lab is a startup that focuses on game data and artificial intelligence.,Vilnius,"Alexander Mikheev, Alisa Chumachenko","$5,120,000",4,"Artificial Intelligence, Big Data, Machine Learning, Software",11-50,"6 (Runa Capital, Brighteye Ventures, Ventech, Gagarin Capital Partners, Sistema_VC)",2017
Lithuania,10) Filippo Loreti,Characters are defined through the use of high-end designer accessories at reasonable pricing.,Vilnius,,"$10,325,052",,,51-100,,
Lithuania,11) CityBee,CityBee is a new car-sharing company.,Vilnius,,"$124,393,440",,,51-100,,
Lithuania,12) Lympo,Lympo is a motivational fitness software that allows users to monetize their own sports and wellness data.,Vilnius,,"$10,000,000",,,11-50,,
Lithuania,13) Qoorio,Qoorio is a mobile app development firm.,Vilnius,,"$2,204,507",,,1-10,,
Lithuania,14) Brolis Semiconductors,A hardware-hard firm that develops cutting-edge technology for security and medical sensing applications.,Vilnius,,"$11,332,229",,,11-50,,
Lithuania,15) NanoAvionics,"NanoAvionics, LLC is a satellite mission integrator that designs and manufactures high-performance multi-purpose nanosatellite platforms and subsystems.",Vilnius,,"$5,174,769",,,11-50,,
Lithuania,16) Oxipit,The Oxipit research team is made up of Kaggle award-winning deep learning engineers and radiologists.,Vilnius,,"$1,700,000",,,11-50,,
Lithuania,17) Game Insight,"Game Insight is a free-to-play game developer and publisher for Facebook, iPad, iPhone, Android, Amazon, Windows 8, and Windows Phone.",Vilnius,,"$9,000,000",,,501-1000,,
Lithuania,18) Profitus,Profitus is working on a real estate investing platform for the Baltics and other parts of Europe.,Vilnius,,"$5,895,907",,,11-50,,
Lithuania,19) Evarvest,"Evarvest connects the world's stock exchanges, making it simple and commission-free to invest in the businesses you know, love, and trust.",Vilnius,,"$259,876",,,1-10,,
Lithuania,20) LastMile,Grocery delivery on the same day.,Vilnius,,"$111,632",,,1-10,,
Lithuania,21) RAWG,RAWG.io is a video game discovery platform that allows you to turn your skills into tangible goods and services.,Vilnius,,"$1,200,000",,,11-50,,
Lithuania,22) PIXEVIA,"PIXEVIA is a company that develops artificial intelligence for smart cities, retail, and drones.",Vilnius,,"$1,835,746",,,1-10,,
Lithuania,23) kevin.,Kevin is a regulated payment institution that offers international and domestic payment solutions in accordance with the PSD2 legislation.,Vilnius,,"$2,103,769",,,11-50,,
Lithuania,24) CHRG Network,"SAAS platform for electric vehicle charging that unites all charging stations into a single network, allowing owners to share and monetize their charging stations.",Vilnius,,"$191,900",,,1-10,,
Lithuania,25) Ruptela,Ruptela is a UK-based transport management solutions supplier.,Vilnius,,"$1,361,080",,,1-10,,
Sweden,1) Klarna,Klarna is an e-commerce payment platform that caters to both merchants and customers.,Stockholm,"Niklas Adalberth, Sebastian Siemiatkowski, Victor Jacobsson","$3,729,713,451",27,"E-Commerce, Finance, FinTech, Payments",1001-5000,"56 (Silver Lake, BlackRock, SoftBank Vision Fund, DST Global, General Atlantic)",2005
Sweden,2) Northvolt,Northvolt is a lithium-ion battery manufacturer specializing in environmentally friendly batteries.,Stockholm,"Paolo Cerruti, Peter Carlsson","$6,040,092,593",9,"Battery, Clean Energy, CleanTech, Electronics, Energy",1001-5000,"48 (Siemens, Goldman Sachs, Bpifrance, InnoEnergy, European Investment Bank)",2016
Sweden,3) Tink,Tink is a cloud-based platform that enables the future of financial services by offering infrastructure and data products.,Stockholm,"Daniel Kjellén, Fredrik Hedberg","$308,432,161",7,"Banking, Financial Services, FinTech, Software",251-500,"16 (Eurazeo, Insight Partners, PayPal Ventures, Dawn Capital, PayPal)",2012
Sweden,4) Einride,Einride is a transportation technology firm that designs and develops electric and autonomous freight vehicles.,Stockholm,"Filip Lilja, Linnea Kornehed, Robert Falck","$152,343,070",8,"Autonomous Vehicles, Electric Vehicle, Logistics, Transportation",101-250,"15 (EQT Ventures, Ericsson, Temasek Holdings, Northzone, Soros Fund Management)",2016
Sweden,5) Volta Trucks,Volta Trucks is an electric vehicle manufacturer that focuses on creating sustainable cities.,Sigtuna,"Carl-Magnus Norden, Kjell Walöen","$25,041,096",2,"Automotive, Electric Vehicle, Last Mile Transportation, Logistics",51-100,"2 (Luxor Capital Group, Byggmästare A J Ahlström)",2019
Sweden,6) Doktor.se,"Doktor.se is a digital healthcare platform that offers counseling, doctor booking, distant care, recipes, and recommendations, among other services.",Stockholm,Martin Lindman,"$155,017,037",6,"Health Care, Hospital, Medical",501-1000,"8 (Handelsbanken, Bonnier Ventures, Carnegie, Oriola, Norron AB)",2016
Sweden,7) Acast,"Acast is a podcast and audio-on-demand platform that hosts, monetizes, and distributes audio content throughout the world.",Stockholm,"Johan Billgren, Karl Rosander, Mans Ulvestam, Markus Ahlstrand","$126,228,642",9,"Audio, Internet Radio, Podcast",101-250,"10 (European Investment Bank, Bonnier Ventures, EASME - EU Executive Agency for SMEs, Alfvén & Didrikson, Swedbank Robur)",2013
Sweden,8) Polestar,Polestar is a high-performance electric vehicle brand that focuses on uncompromising automobile design and technology.,Göteborg,,"$550,000,000",1,"Automotive, Electric Vehicle, Mechanical Engineering",101-250,"5 (SK Holdings, Chongqing Chengxing Equity Investment Fund Partnership, Zibo Hightech Industrial Investment, I Cube Capital, Zibo Financial Holding)",1996
Sweden,9) VOI Technology,"Electric scooters for urban commuters are owned, operated, and managed by VOI Technology.",Stockholm,"Adam Jafer, Douglas Stark, Filip Lindvall, Fredrik Hjelm, Keith Richman","$355,900,000",7,"Electric Vehicle, Public Transportation, Rental, Transportation",251-500,"25 (Balderton Capital, LocalGlobe, Project A Ventures, Creandum, Raine Ventures)",2018
Sweden,10) Smart Eye,Smart Eye is a startup that creates real-time eye tracking devices that use numerous cameras to measure eye movement and direction.,Göteborg,Martin Krantz,"SEK139,000,000",2,"Hardware, Software",11-50,1 (Fouriertransform),1999
Sweden,11) IFS,"IFS creates and implements business software such as ERP, EAM, and Service Management.",Linköping,"Bengt Nilsson, Ulf Stern","€ 3,000,000,000",2,"Enterprise Resource Planning (ERP), Enterprise Software, Software",1001-5000,"3 (EQT, TA Associates, Zobito)",1983
Sweden,12) Epidemic Sound,Epidemic Sound is a music studio that specializes on creating music for online creators.,Stockholm,"David Stenmarck, Hjalmar Winbladh, Jan Zachrisson, Oscar Höglund, Peer Åström","$508,861,893",5,"Digital Entertainment, Digital Media, Media and Entertainment, Music, Music Streaming, Video",251-500,"10 (EQT, Creandum, Blackstone Group, AMF, TIN Fonder)",2009
Sweden,13) Snow Software,Snow is transforming how businesses think about and control technology consumption.,Solna,Axel Kling,"$120,000,000",3,"Data Center, Enterprise Software, Mobile, Software",501-1000,"4 (Vitruvian Partners, Adams Street Partners, Sumeru Equity Partners, Ontario Pension Board)",1997
Sweden,14) Trustly,Pay with your online bank account.,Stockholm,"Carl Wilsson, Joel Jacobsson, Lukas Gratte","€ 23,000,000",3,"E-Commerce, Finance, FinTech, Internet, Payments, Privacy, Security, Social Media",251-500,"7 (Neuberger Berman Group, BlackRock Private Equity Partners, Bridgepoint, BDC Venture Capital, Aberdeen Standard Investments)",2008
Sweden,15) Nextory,Nextory is a digital library that includes both pdf and audio books.,Kista,Shadi Bitar,"$20,109,460",5,"Audiobooks, E-Commerce, EBooks, Education",1-10,"5 (Industrifonden, Aggregate Media, LK Finans, ACACIA ASSET MANAGEMENT AB, Frescano Group)",2012
Sweden,16) Lifesum,Lifesum is a digital health firm based in Sweden that uses applied psychology and technology to help clients get healthy.,Stockholm,"Henrik Torstensson, Marcus Gners, Martin Wählby, Tove Westlund","$21,700,000",3,"Fitness, Health Care, Internet, Mobile, Personal Health",11-50,"5 (Draper Esprit, Balderton Capital, Bauer Media, NGP Capital, SparkLabs Global Ventures)",2013
Sweden,17) Instabox,Instabox is a delivery service that delivers products to smart box locations seven days a week for certain online partners.,Hägersten,"Alexis Priftis, Johan Lundin, Staffan Gabrielsson","$137,057,093",6,"Logistics, Shipping, Supply Chain Management",101-250,"3 (EQT Ventures, Creades AB, Cordet)",2015
Sweden,18) Natural Cycles,Natural Cycles is a contraceptive app that is at the forefront of the digital contraception revolution.,Stockholm,"Elina Berglund, Elina Berglund Scherwitzl, Raoul Scherwitzl","$37,500,000",3,"Apps, Fitness, Health Care, Medical Device, Personal Health, Wellness, Women's",11-50,"6 (EQT Ventures, Heartcore Capital, Headline, Bonnier Ventures, TR Invest)",2013
Sweden,19) Funnel,Funnel creates software and systems to assist marketers in automating data collection for reporting and analysis.,Stockholm,"Fredrik Skantze, Per Made","$68,000,000",4,"Advertising, Analytics, Big Data, Marketing, SaaS, Social Media Marketing, Software",51-100,"7 (Balderton Capital, F-Prime Capital, Eight Roads Ventures, Industrifonden, Kreos Capital)",2013
Sweden,20) Exeger Sweden AB,Exeger Sweden AB is a company that develops and sells novel materials that improve the efficiency of solar cells.,Stockholm,Giovanni Fili,"$66,145,187",7,"Developer Tools, Energy, Solar",11-50,"6 (SoftBank, Maropost Ventures, Swedbank, Svensk Exportkredit, Ilija Batljan)",2008
Sweden,21) Heja,"Heja is the only app you'll ever need to communicate with coaches, managers, parents, and players.",Stockholm,Mikael Blix,"$6,801,874",2,"Apps, Fitness, Mobile Apps, Sports",11-50,"8 (Max Ventures, Peak, Bonnier Ventures, Luminar Ventures, Inbox Capital)",2018
Sweden,22) Dirac,"In any type of listening situation, including mobile, VR/AR, gaming, and commercial AV, Dirac delivers a flawless sound experience.",Uppsala,Mathias Johansson,"$50,734,780",5,"Consumer Electronics, Digital Media, Service Industry",101-250,"8 (DIG Investment, Inbox Capital, TIN Fonder, Club Network Investments, Swedia Capital)",2001
Sweden,23) Anticimex AB,Anticimex AB is a modern pest management company that specializes in pest prevention.,Stockholm,,"$440,000,000",2,Chemical,1001-5000,"2 (EQT, GIC)",1934
Sweden,24) Budbee,Budbee is a logistics-tech startup that focuses on sustainability while providing last-mile delivery services.,Stockholm,"Axel Warg, Fredrik Hamilton","$112,524,328",7,"Delivery Service, Location Based Services, Logistics, Navigation, Sustainability",101-250,"10 (Kinnevik AB, Sebastian Siemiatkowski, H&M CO:LAB, Stena Sessan, Victor Jacobsson)",2015
Sweden,25) Fishbrain,"Today and tomorrow, Fishbrain helps people catch more and bigger fish and become better fishermen.",Stockholm,"Jens Lindman, Johan Attby","$58,750,000",6,"Big Data, Leisure, Social Media, Social Network, Sports",11-50,"20 (FJ Labs, Seedcamp, B Capital Group, Northzone, Almi Invest)",2010
Sweden,26) NA-KD.com,NA-KD.com is a fashion e-commerce company based in Sweden.,Gothenburg,Jarno Vanhatapio,"$88,506,623",5,"E-Commerce, Fashion, Marketplace, Mobile",101-250,"10 (FJ Labs, Northzone, Partech, La Maison Compagnie d'Investissement, eEquity)",2015
Sweden,27) DanAds,DanAds is a white label self-serve ad-desk for small and medium advertisers for publishers.,Sollentuna,"Istvan Beres, Peo Persson","$15,136,167",6,"Advertising, Advertising Platforms, Brand Marketing, Classifieds, CRM, Payments, Publishing, Small and Medium Businesses, Travel, Video Streaming",51-100,"12 (Almi Invest, Forward Venture Capital, Wellstreet, Alexander Hars, Jonas Sjögren)",2013
Sweden,28) Fragbite Group,The Fragbite Group is a global gaming and e-sports conglomerate.,Stockholm,"David Wallinder, Magdy Shehata","$6,151,634",4,"eSports, Gaming, Mobile",51-100,"2 (Jakob Porser, Carl Manneh)",2015
Sweden,29) Yabie,Yabie (Square on Steroids) is a flexible and scalable point-of-sale and payment platform that can help you streamline your sales process.,Stockholm,Mathias Plank,"$37,493,242",6,"Enterprise Software, Mobile Apps, Mobile Payments, Payments, Point of Sale, Retail, Retail Technology",51-100,"8 (EASME - EU Executive Agency for SMEs, Brightly Ventures, Swedbank, NFT Ventures, Collector Ventures)",2017
Sweden,30) Karma,Karma creates and sells apps to help grocery shops and restaurants reduce food waste.,Stockholm,"Elsa Bernadotte, Hjalmar Ståhlberg Nordegren, Ludvig Berling, Mattis Larsson, Steven van Wel","$20,216,654",5,"Apps, Big Data, Communities, Food and Beverage, Shopping, Social Entrepreneurship, Sustainability",11-50,"19 (Bessemer Venture Partners, Kinnevik AB, Headline, Norrsken VC, rocketship.vc)",2015
Sweden,31) Firstvet,FirstVet is a digital veterinary company that connects pet owners with qualified physicians for on-demand video consultations.,Stockholm,"David Prien, Joakim Widigs, Lars-Martin Norviit","€ 53,100,000",3,"Medical, Mobile Apps, Pet, Software, Veterinary",51-100,"4 (Creandum, OMERS Ventures, Cathay Innovation, Mubadala Capital | Ventures Europe)",2016
Sweden,32) Accedo,Accedo offers a variety of software and service solutions for delivering engaging OTT video experiences across numerous platforms and devices.,Stockholm,"Fredrik Andersson, Michael lantz","$28,270,000",4,"Consumer Electronics, Digital Media, SaaS, Software, Video",501-1000,"3 (Industrifonden, SEB Private Equity, ACACIA ASSET MANAGEMENT AB)",2004
Sweden,33) Detectify,Detectify provides a SaaS-based platform for online application security assessments.,Stockholm,"Fredrik Nordberg Almroth, Rickard Carlsson","$32,038,067",4,"Cloud Infrastructure, SaaS, Security, Web Apps",11-50,"10 (Balderton Capital, Insight Partners, Inventure, Paua Ventures, First Fellow Partners)",2012
Sweden,34) SidekickHealth,SidekickHealth is an evidence-based platform for preventing and managing chronic diseases linked to a person's lifestyle.,Gothenburg,"Saemundur Oddsson, Tryggvi Thorgeirsson","$30,899,730",7,"Health Care, Health Diagnostics, Medical, Mobile",11-50,"5 (Asabys Partners, Wellington Partners, Novator, Technology Development Fund, Frumtak Ventures)",2014
Sweden,35) Volta Greentech,lowering methane emissions from cows in the fight against climate warming,Stockholm,"Angelo Demeter, Fredrik Åkerman, Leo Wezelius, Viggo Forsberg","$4,301,604",4,AgTech,1-10,"8 (Peter Carlsson, Wave Ventures, Claes Dinkelspiel, Hampus Jakobsson, Daniel Skavén Ruben)",2018
Sweden,36) Quinyx AB,Quinyx's web-based technology helps with scheduling and time reporting.,Stockholm,"Andreas Sjoulnd, Carl Geijer, Erik Fjellborg","$53,301,684",5,"Cloud Data Services, SaaS, Software, Task Management",101-250,"4 (Battery Ventures, Alfvén & Didrikson, Zobito, Euroventures)",2005
Sweden,37) Doctor24,Doctor24 is an online health-care service.,Stockholm,,"SEK400,000,000",2,"Health Care, Medical",11-50,"4 (Stena Sessan, Ernström & Co, Patricia Industries, Apoteket AB)",2016
Sweden,38) Anyfin,"By taking a photo, Anyfin puts an end to costly financial products and saves money on private loans.",Stockholm,"Filip Polhem, Mikael Hussain, Sven Perkmann","$44,857,394",4,"Consumer Lending, Credit, Finance, Financial Services, FinTech, Lending",51-100,"5 (EQT Ventures, Accel, Northzone, Global Founders Capital, FinTech Collective)",2017
