rank,country,name,description,state,city,started_in,founders,industries,employees,funding_raw,funding_rounds,investors_count,investors_list,source_url,employees_min,employees_max,funding_usd,industries_list,founders_list,text,clean_text,cluster
1,Iceland,Alvotech,Biosimilars are setting a new norm.,Gullbringusysla,Reykjavã­K,2013.0,Robert Wessman,"Biotechnology, Life Science",251-500,"$450,000,000",4.0,6.0,"[""Baxter Ventures"", ""Shinhan Capital"", ""Athos Capital"", ""Alvogen"", ""Fuji Pharma""]",https://www.failory.com/startups/iceland,251.0,500.0,450000000.0,"[""Biotechnology"", ""Life Science""]","[""Robert Wessman""]",Biosimilars are setting a new norm.,biosimilars setting new norm,2
2,Iceland,Oculis,Oculis is a privately held clinical-stage pharmaceutical development business specializing in ocular therapeutics and new drug delivery systems.,Gullbringusysla,Reykjavã­K,2003.0,"Einar Stefansson, Thorsteinn Loftsson","Biotechnology, Health Care, Pharmaceutical",11-50,"$94,355,910",10.0,14.0,"[""Earlybird Venture Capital"", ""Bay City Capital"", ""Novartis Venture Fund"", ""Tekla Capital Management"", ""Pivotal bioVenture Partners""]",https://www.failory.com/startups/iceland,11.0,50.0,94355910.0,"[""Biotechnology"", ""Health Care"", ""Pharmaceutical""]","[""Einar Stefansson"", ""Thorsteinn Loftsson""]",Oculis is a privately held clinical-stage pharmaceutical development business specializing in ocular therapeutics and new drug delivery systems.,oculis privately held clinical stage pharmaceutical development business specializing ocular therapeutics new drug delivery systems,2
3,Iceland,Controlant,"Controlant is a supply chain company that works with highly regulated industries like pharmaceuticals and life sciences, as well as the food and beverage industry.",Gullbringusysla,Reykjavã­K,2007.0,"Erlingur Brynjulfsson, Gisli Herjolfsson, Stefan Karlsson, Trausti Thormundsson","Developer APIs, Internet, Internet of Things, Mobile, Software, Supply Chain Management",101-250,"$54,722,277",13.0,5.0,"[""Technology Development Fund"", ""Frumtak Ventures"", ""VIS"", ""Arion Bank"", ""Sjova""]",https://www.failory.com/startups/iceland,101.0,250.0,54722277.0,"[""Developer APIs"", ""Internet"", ""Internet of Things"", ""Mobile"", ""Software"", ""Supply Chain Management""]","[""Erlingur Brynjulfsson"", ""Gisli Herjolfsson"", ""Stefan Karlsson"", ""Trausti Thormundsson""]","Controlant is a supply chain company that works with highly regulated industries like pharmaceuticals and life sciences, as well as the food and beverage industry.",controlant supply chain company works highly regulated industries like pharmaceuticals life sciences well food beverage industry,2
4,Iceland,CCP Games,CCP Games is a privately held company that creates massively multiplayer online (MMO) games.,Gullbringusysla,Reykjavã­K,1997.0,"Reynir Hardarson, Sigurdur Arnljotsson","MMO Games, Online Games, Video Games",251-500,"$66,300,000",3.0,3.0,"[""General Catalyst"", ""New Enterprise Associates"", ""Novator""]",https://www.failory.com/startups/iceland,251.0,500.0,66300000.0,"[""MMO Games"", ""Online Games"", ""Video Games""]","[""Reynir Hardarson"", ""Sigurdur Arnljotsson""]",CCP Games is a privately held company that creates massively multiplayer online (MMO) games.,ccp games privately held company creates massively multiplayer online mmo games,5
5,Iceland,Kerecis,"Kerecis creates, manufactures, and sells omega-3-rich fish skin implants and repair materials for the human body.",Vestur-Isafjardarsysla,ÃSafjã¶Rã°Ur,2009.0,"Baldur Tumi Baldursson (MD), Gudmundur Fertram Sigurjonsson, Hilmar Kjartansson (MD), J. Ernest Kenney","Health Care, Manufacturing, Medical, Medical Device",101-250,"$48,611,641",19.0,7.0,"[""Silicon Valley Bank"", ""Emerson Collective"", ""Novator"", ""Technology Development Fund"", ""New Business Venture Fund""]",https://www.failory.com/startups/iceland,101.0,250.0,48611641.0,"[""Health Care"", ""Manufacturing"", ""Medical"", ""Medical Device""]","[""Baldur Tumi Baldursson (MD)"", ""Gudmundur Fertram Sigurjonsson"", ""Hilmar Kjartansson (MD)"", ""J. Ernest Kenney""]","Kerecis creates, manufactures, and sells omega-3-rich fish skin implants and repair materials for the human body.",kerecis creates manufactures sells omega rich fish skin implants repair materials human body,-1
6,Iceland,Authenteq,"Authenteq delivers real-time identity verification based on privacy-by-design principles. In 60 seconds or less, IDs are verified.",Gullbringusysla,Reykjavã­K,2015.0,"Adam H. Martin, Kari Thor Runarsson, Runar Karlsson","Blockchain, Compliance, Fraud Detection, Identity Management, Information Technology, Privacy",11-50,"$7,398,103",8.0,8.0,"[""Startupbootcamp"", ""Draper Associates"", ""EASME - EU Executive Agency for SMEs"", ""Cavalry Ventures"", ""3VC""]",https://www.failory.com/startups/iceland,11.0,50.0,7398103.0,"[""Blockchain"", ""Compliance"", ""Fraud Detection"", ""Identity Management"", ""Information Technology"", ""Privacy""]","[""Adam H. Martin"", ""Kari Thor Runarsson"", ""Runar Karlsson""]","Authenteq delivers real-time identity verification based on privacy-by-design principles. In 60 seconds or less, IDs are verified.",authenteq delivers real time identity verification based privacy design principles seconds less ids verified,8
7,Iceland,Lucinity,Artificial Intelligence (AI) to Make Money,Gullbringusysla,Reykjavã­K,2018.0,Gudmundur Kristjansson,"Artificial Intelligence, Software",11-50,"$8,100,000",2.0,4.0,"[""byFounders"", ""Karma Ventures"", ""Crowberry Capital"", ""Preceptor Capital""]",https://www.failory.com/startups/iceland,11.0,50.0,8100000.0,"[""Artificial Intelligence"", ""Software""]","[""Gudmundur Kristjansson""]",Artificial Intelligence (AI) to Make Money,artificial intelligence ai make money,10
8,Iceland,GRID,GRID allows Excel users to convert their spreadsheets into modern web apps without having to acquire new abilities.,Gullbringusysla,Reykjavã­K,2018.0,"Hjalmar Gislason, Thorsteinn Yngvi Gudmundsson","Productivity Tools, SaaS, Software",11-50,"$16,540,347",4.0,14.0,"[""New Enterprise Associates"", ""Acequia Capital (AceCap""]",https://www.failory.com/startups/iceland,11.0,50.0,16540347.0,"[""Productivity Tools"", ""SaaS"", ""Software""]","[""Hjalmar Gislason"", ""Thorsteinn Yngvi Gudmundsson""]",GRID allows Excel users to convert their spreadsheets into modern web apps without having to acquire new abilities.,grid allows excel users convert spreadsheets modern web apps without acquire new abilities,11
1,Ireland,BrowserStack,BrowserStack is a software testing platform that runs over two million tests per day in 15 data centers across the world.,Dublin,Dublin,2011.0,"Nakul Aggarwal, Ritesh Arora","Cloud Infrastructure, Developer Tools, Software",501-1000,"$250,000,000",2.0,3.0,"[""Accel"", ""Insight Partners"", ""Bond""]",https://www.failory.com/startups/ireland,501.0,1000.0,250000000.0,"[""Cloud Infrastructure"", ""Developer Tools"", ""Software""]","[""Nakul Aggarwal"", ""Ritesh Arora""]",BrowserStack is a software testing platform that runs over two million tests per day in 15 data centers across the world.,browserstack software testing platform runs two million tests per day data centers across world,11
2,Ireland,CleverCards,CleverCards is a payments technology that allows businesses and governments to deliver digital Mastercards to anybody through SMS or email in real time.,Dublin,Dublin,2011.0,Kealan Lennon,"Marketing Automation, Mobile Payments, Payments, Retail Technology, Software",11-50,"$20,680,000",4.0,5.0,"[""Donal Daly"", ""Enterprise Ireland"", ""Delta Partners"", ""Gareth Lambe"", ""Pat Gunne""]",https://www.failory.com/startups/ireland,11.0,50.0,20680000.0,"[""Marketing Automation"", ""Mobile Payments"", ""Payments"", ""Retail Technology"", ""Software""]","[""Kealan Lennon""]",CleverCards is a payments technology that allows businesses and governments to deliver digital Mastercards to anybody through SMS or email in real time.,clevercards payments technology allows businesses governments deliver digital mastercards anybody sms email real time,7
3,Ireland,Fenergo,Financial institutions can use Fenergo's customer lifecycle management software.,Dublin,Dublin,2009.0,Marc Murphy,"Enterprise Software, Information Technology, Software, Transaction Processing",501-1000,"$760,431,041",4.0,8.0,"[""Insight Partners"", ""Investec"", ""Aquiline Capital Partners"", ""Astorg"", ""DXC Technology""]",https://www.failory.com/startups/ireland,501.0,1000.0,760431041.0,"[""Enterprise Software"", ""Information Technology"", ""Software"", ""Transaction Processing""]","[""Marc Murphy""]",Financial institutions can use Fenergo's customer lifecycle management software.,financial institutions use fenergo customer lifecycle management software,7
4,Ireland,Kaseya,Kaseya is an automation software company that specializes in remote management tools for the IT sector.,Dublin,Dublin,2000.0,Gerald Blackie,"Cyber Security, Enterprise, SaaS, Security, Software",251-500,"$544,777,315",4.0,5.0,"[""Insight Partners"", ""TPG"", ""Ireland Strategic Investment Fund"", ""Kanwal Rekhi"", ""Whitman Capital""]",https://www.failory.com/startups/ireland,251.0,500.0,544777315.0,"[""Cyber Security"", ""Enterprise"", ""SaaS"", ""Security"", ""Software""]","[""Gerald Blackie""]",Kaseya is an automation software company that specializes in remote management tools for the IT sector.,kaseya automation software company specializes remote management tools sector,-1
5,Ireland,&Open,• We give at scale from companies to individuals all around the world on the world's first happiness platform.,Dublin,Dublin,2017.0,"Ciara Flood, Jonathan Legge, Mark Legge","CRM, Product Design, Software",11-50,"$7,200,000",2.0,6.0,"[""First Round Capital"", ""LocalGlobe"", ""Liam Casey"", ""Tribal.vc"", ""Des Traynor""]",https://www.failory.com/startups/ireland,11.0,50.0,7200000.0,"[""CRM"", ""Product Design"", ""Software""]","[""Ciara Flood"", ""Jonathan Legge"", ""Mark Legge""]",• We give at scale from companies to individuals all around the world on the world's first happiness platform.,give scale companies individuals around world world first happiness platform,-1
6,Ireland,Scurri,"Scurri is a simple, flexible API and dashboard designed to improve your ordering, shipping, and delivery processes.",Wexford,Wexford,2010.0,"Eugene Crehan, Josephine O'Connor, Rory O'Connor","Delivery, E-Commerce, Shipping, Software, Transportation",11-50,,6.0,8.0,"[""J. Meade & Company"", ""Enterprise Ireland"", ""Haatch"", ""Episode 1"", ""Act Venture Capital""]",https://www.failory.com/startups/ireland,11.0,50.0,,"[""Delivery"", ""E-Commerce"", ""Shipping"", ""Software"", ""Transportation""]","[""Eugene Crehan"", ""Josephine O'Connor"", ""Rory O'Connor""]","Scurri is a simple, flexible API and dashboard designed to improve your ordering, shipping, and delivery processes.",scurri simple flexible api dashboard designed improve ordering shipping delivery processes,3
7,Ireland,Payslip,Multinational businesses may get uniform Global Payroll thanks to automation and integration technology.,Mayo,Mayo,2016.0,Fidelma McGuirk,"Information Services, Information Technology, Software",11-50,,3.0,11.0,"[""Mouro Capital"", ""Enterprise Ireland"", ""Tribal.vc"", ""Middlegame Ventures"", ""Frontline Ventures""]",https://www.failory.com/startups/ireland,11.0,50.0,,"[""Information Services"", ""Information Technology"", ""Software""]","[""Fidelma McGuirk""]",Multinational businesses may get uniform Global Payroll thanks to automation and integration technology.,multinational businesses may get uniform global payroll thanks automation integration technology,-1
8,Ireland,Learnosity,"For the world's greatest assessment solutions, Learnosity provides the technical platform for authorship, assessment delivery, and reporting.",Dublin,Dublin,2007.0,"Gavin Cooney, Mark Lynch","EdTech, Education, Information Technology, Robotics, SaaS, Skill Assessment, Software",51-100,"$52,400,000",2.0,2.0,"[""Battery Ventures"", ""3P Learning""]",https://www.failory.com/startups/ireland,51.0,100.0,52400000.0,"[""EdTech"", ""Education"", ""Information Technology"", ""Robotics"", ""SaaS"", ""Skill Assessment"", ""Software""]","[""Gavin Cooney"", ""Mark Lynch""]","For the world's greatest assessment solutions, Learnosity provides the technical platform for authorship, assessment delivery, and reporting.",world greatest assessment solutions learnosity provides technical platform authorship assessment delivery reporting,-1
9,Ireland,Shaw Academy,Shaw Academy is on a quest to use unique technologies to give higher education at a lesser cost.,Dublin,Dublin,2013.0,"Adrian Murphy, James Egan","Continuing Education, E-Learning, EdTech, Education, Edutainment, Higher Education",51-100,,1.0,,[],https://www.failory.com/startups/ireland,51.0,100.0,,"[""Continuing Education"", ""E-Learning"", ""EdTech"", ""Education"", ""Edutainment"", ""Higher Education""]","[""Adrian Murphy"", ""James Egan""]",Shaw Academy is on a quest to use unique technologies to give higher education at a lesser cost.,shaw academy quest use unique technologies give higher education lesser cost,6
10,Ireland,Manna Drone Delivery,"Restaurant chains, dark kitchens, and online food delivery platforms can use Manna's drone delivery service stack.",Dublin,Dublin,2018.0,Bobby Healy,"Drones, Food Delivery, Logistics",11-50,"$30,200,000",4.0,13.0,"[""Founders Fund"", ""Draper Esprit"", ""DST Global"", ""ff Venture Capital"", ""Atlantic Bridge""]",https://www.failory.com/startups/ireland,11.0,50.0,30200000.0,"[""Drones"", ""Food Delivery"", ""Logistics""]","[""Bobby Healy""]","Restaurant chains, dark kitchens, and online food delivery platforms can use Manna's drone delivery service stack.",restaurant chains dark kitchens online food delivery platforms use manna drone delivery service stack,3
11,Ireland,Profitero,Profitero is the go-to eCommerce performance analytics platform for the world's most well-known brands.,Dublin,Dãºn Laoghaire,2010.0,"Dmitry Vysotski, Konstantin Chernysh, Vol Pigrukh","Analytics, Big Data, Data Mining, E-Commerce, E-Commerce Platforms, Internet",251-500,"$48,724,472",6.0,10.0,"[""Polaris Partners"", ""Seedcamp"", ""Enterprise Ireland"", ""Silicon Valley Bank"", ""Eastward Capital Partners""]",https://www.failory.com/startups/ireland,251.0,500.0,48724472.0,"[""Analytics"", ""Big Data"", ""Data Mining"", ""E-Commerce"", ""E-Commerce Platforms"", ""Internet""]","[""Dmitry Vysotski"", ""Konstantin Chernysh"", ""Vol Pigrukh""]",Profitero is the go-to eCommerce performance analytics platform for the world's most well-known brands.,profitero go ecommerce performance analytics platform world well known brands,4
12,Ireland,Flipdish,"Flipdish assists on-demand food businesses with the development of branded food ordering systems, websites, and apps.",Dublin,Sandyford,2015.0,"Conor McCarthy, James McCarthy","Brand Marketing, E-Commerce, Food and Beverage, Food Delivery, Mobile Apps",101-250,,5.0,5.0,"[""Tiger Global Management"", ""Global Founders Capital"", ""Enterprise Ireland"", ""Elkstone Capital Partners"", ""Growing Capital""]",https://www.failory.com/startups/ireland,101.0,250.0,,"[""Brand Marketing"", ""E-Commerce"", ""Food and Beverage"", ""Food Delivery"", ""Mobile Apps""]","[""Conor McCarthy"", ""James McCarthy""]","Flipdish assists on-demand food businesses with the development of branded food ordering systems, websites, and apps.",flipdish assists demand food businesses development branded food ordering systems websites apps,3
13,Ireland,Utmost,Utmost is a Workday-native vendor management system that replaces outdated systems.,Dublin,Dublin,2018.0,"Annraie O'Toole, Dan Beck, Paddy Benson","Computer, SaaS, Software",11-50,"$32,200,000",2.0,5.0,"[""Alumni Ventures Group"", ""Greylock"", ""Workday Ventures"", ""Mosaic"", ""Acadian Ventures""]",https://www.failory.com/startups/ireland,11.0,50.0,32200000.0,"[""Computer"", ""SaaS"", ""Software""]","[""Annraie O'Toole"", ""Dan Beck"", ""Paddy Benson""]",Utmost is a Workday-native vendor management system that replaces outdated systems.,utmost workday native vendor management system replaces outdated systems,-1
14,Ireland,Assure Hedge,"For businesses, Assure Hedge offers automatic currency hedging solutions.",Dublin,Dublin,2016.0,Barry McCarthy,"Financial Exchanges, Financial Services, FinTech",11-50,"$23,971,255",10.0,5.0,"[""Enterprise Ireland"", ""NDRC"", ""Carrig Glen Investments"", ""RICHARD HAYES"", ""Robert Smith""]",https://www.failory.com/startups/ireland,11.0,50.0,23971255.0,"[""Financial Exchanges"", ""Financial Services"", ""FinTech""]","[""Barry McCarthy""]","For businesses, Assure Hedge offers automatic currency hedging solutions.",businesses assure hedge offers automatic currency hedging solutions,7
15,Ireland,Glofox,Glofox is a management software firm that assists fitness entrepreneurs in helping people better their health.,Dublin,Dublin,2014.0,"Anthony Kelly, Conor O'Loughlin, Finn Hegarty","B2B, Fitness, Management Information Systems, SaaS, Scheduling, Software",101-250,"$22,783,596",8.0,8.0,"[""Octopus Ventures"", ""Enterprise Ireland"", ""Notion Capital"", ""Silicon Valley Bank"", ""Partech""]",https://www.failory.com/startups/ireland,101.0,250.0,22783596.0,"[""B2B"", ""Fitness"", ""Management Information Systems"", ""SaaS"", ""Scheduling"", ""Software""]","[""Anthony Kelly"", ""Conor O'Loughlin"", ""Finn Hegarty""]",Glofox is a management software firm that assists fitness entrepreneurs in helping people better their health.,glofox management software firm assists fitness entrepreneurs helping people better health,2
16,Ireland,TransferMate Global Payments,"TransferMate is a global B2B payments platform that enables businesses to send and receive payments at lower costs, faster, and with greater ease than ever before.",Dublin,Dublin,2010.0,"Barry Dowling, Sinead Fitzmaurice, Terry Clune","B2B, Financial Services, FinTech, Payments",101-250,,2.0,2.0,"[""ING Group"", ""Allied Irish Banks""]",https://www.failory.com/startups/ireland,101.0,250.0,,"[""B2B"", ""Financial Services"", ""FinTech"", ""Payments""]","[""Barry Dowling"", ""Sinead Fitzmaurice"", ""Terry Clune""]","TransferMate is a global B2B payments platform that enables businesses to send and receive payments at lower costs, faster, and with greater ease than ever before.",transfermate global b b payments platform enables businesses send receive payments lower costs faster greater ease ever,-1
17,Ireland,Linked Finance,Linked Finance provides Irish firms with a novel and straightforward option to borrow money from a huge number of actual individuals.,Dublin,Dublin,2011.0,Peter O'Mahony,"Banking, Finance, Financial Services, FinTech, Small and Medium Businesses",11-50,,4.0,3.0,"[""Covid-19 Credit Guarantee Scheme"", ""Frontline Ventures"", ""Banco BNI Europa""]",https://www.failory.com/startups/ireland,11.0,50.0,,"[""Banking"", ""Finance"", ""Financial Services"", ""FinTech"", ""Small and Medium Businesses""]","[""Peter O'Mahony""]",Linked Finance provides Irish firms with a novel and straightforward option to borrow money from a huge number of actual individuals.,linked finance provides irish firms novel straightforward option borrow money huge number actual individuals,7
18,Ireland,LearnUpon,"LearnUpon is a cloud-based Learning Management System that assists organizations in training their employees, partners, and customers.",Dublin,Dublin,2012.0,"Brendan Noud, Des V. Anderson","Corporate Training, E-Learning, Software",101-250,"$56,744,718",4.0,3.0,"[""Summit Partners"", ""Enterprise Ireland"", ""NDRC""]",https://www.failory.com/startups/ireland,101.0,250.0,56744718.0,"[""Corporate Training"", ""E-Learning"", ""Software""]","[""Brendan Noud"", ""Des V. Anderson""]","LearnUpon is a cloud-based Learning Management System that assists organizations in training their employees, partners, and customers.",learnupon cloud based learning management system assists organizations training employees partners customers,6
19,Ireland,Immedis,Immedis is a global payroll and mobility tax services provider that specializes in business technology solutions.,Dublin,Dublin,2016.0,"Mark Graham, Ruairi Kelleher, Terry Clune","Financial Services, Human Resources, Information Technology, Outsourcing",101-250,"$78,296,259",2.0,2.0,"[""Lead Edge Capital"", ""Scottish Equity Partners""]",https://www.failory.com/startups/ireland,101.0,250.0,78296259.0,"[""Financial Services"", ""Human Resources"", ""Information Technology"", ""Outsourcing""]","[""Mark Graham"", ""Ruairi Kelleher"", ""Terry Clune""]",Immedis is a global payroll and mobility tax services provider that specializes in business technology solutions.,immedis global payroll mobility tax services provider specializes business technology solutions,0
20,Ireland,Brightflag,Brightflag is a legal cost management and matter management software for corporate legal departments that uses artificial intelligence.,Dublin,Dublin,2014.0,"Alex Kelly, Ian Nolan","Artificial Intelligence, Enterprise Software, Legal, Legal Tech, SaaS, Software",51-100,"$39,109,196",7.0,8.0,"[""500 Startups"", ""Wayra"", ""Enterprise Ireland"", ""Sands Capital Ventures"", ""One Peak Partners""]",https://www.failory.com/startups/ireland,51.0,100.0,39109196.0,"[""Artificial Intelligence"", ""Enterprise Software"", ""Legal"", ""Legal Tech"", ""SaaS"", ""Software""]","[""Alex Kelly"", ""Ian Nolan""]",Brightflag is a legal cost management and matter management software for corporate legal departments that uses artificial intelligence.,brightflag legal cost management matter management software corporate legal departments uses artificial intelligence,-1
21,Ireland,spaceOS,SpaceOS is the most attractive and user-friendly tenant experience and management platform available.,Galway,Galway,2017.0,"Maciej Markowski, Marley Fabisiewicz","Information Technology, Internet, Software",11-50,,2.0,3.0,"[""ff Venture Capital"", ""IMMOFINANZ"", ""BeyondBuild""]",https://www.failory.com/startups/ireland,11.0,50.0,,"[""Information Technology"", ""Internet"", ""Software""]","[""Maciej Markowski"", ""Marley Fabisiewicz""]",SpaceOS is the most attractive and user-friendly tenant experience and management platform available.,spaceos attractive user friendly tenant experience management platform available,-1
22,Ireland,Future Finance,Future Finance is a private lender that specializes on student loans.,Dublin,Dublin,2014.0,"Brian Norton, Vishal Garg","Education, Finance, Financial Exchanges, Financial Services",51-100,"$485,190,935",7.0,12.0,"[""Goldman Sachs"", ""QED Investors"", ""Blackstone Group"", ""Invus"", ""Fenway Summer Ventures""]",https://www.failory.com/startups/ireland,51.0,100.0,485190935.0,"[""Education"", ""Finance"", ""Financial Exchanges"", ""Financial Services""]","[""Brian Norton"", ""Vishal Garg""]",Future Finance is a private lender that specializes on student loans.,future finance private lender specializes student loans,7
23,Ireland,Getvisibility,Getvisibility is a company that specializes in artificial intelligence security.,Cork,Cork,2017.0,"Mark Brosnan, Ronan Murphy","Artificial Intelligence, Cyber Security, Security, Software",11-50,,2.0,7.0,"[""Enterprise Ireland"", ""Smarttech247"", ""Sure Valley Venture"", ""Pires Investments"", ""SoftTech""]",https://www.failory.com/startups/ireland,11.0,50.0,,"[""Artificial Intelligence"", ""Cyber Security"", ""Security"", ""Software""]","[""Mark Brosnan"", ""Ronan Murphy""]",Getvisibility is a company that specializes in artificial intelligence security.,getvisibility company specializes artificial intelligence security,8
24,Ireland,Soapbox Labs,"SoapBox Labs' privacy-first speech recognition software allows kids of different ages, accents, and dialects to have voice-enabled experiences.",Dublin,Dublin,2013.0,Patricia Scanlon,"Artificial Intelligence, Audio, Children, Machine Learning, Natural Language Processing, Smart Home, Software, Speech Recognition, Wearables",11-50,"$11,777,501",4.0,6.0,"[""Enterprise Ireland"", ""Astia Angels"", ""EASME - EU Executive Agency for SMEs"", ""Elkstone Capital Partners"", ""Disruptive Technologies Innovation Fund""]",https://www.failory.com/startups/ireland,11.0,50.0,11777501.0,"[""Artificial Intelligence"", ""Audio"", ""Children"", ""Machine Learning"", ""Natural Language Processing"", ""Smart Home"", ""Software"", ""Speech Recognition"", ""Wearables""]","[""Patricia Scanlon""]","SoapBox Labs' privacy-first speech recognition software allows kids of different ages, accents, and dialects to have voice-enabled experiences.",soapbox labs privacy first speech recognition software allows kids different ages accents dialects voice enabled experiences,10
25,Ireland,Poppulo,Poppulo is a software startup that focuses on employee collaboration.,Cork,Cork,2002.0,Andrew O'Shaughnessy,"SaaS, Software",101-250,,1.0,1.0,"[""Susquehanna Growth Equity""]",https://www.failory.com/startups/ireland,101.0,250.0,,"[""SaaS"", ""Software""]","[""Andrew O'Shaughnessy""]",Poppulo is a software startup that focuses on employee collaboration.,poppulo software startup focuses employee collaboration,11
26,Ireland,AYLIEN,AYLIEN is an artificial intelligence business that develops technology to aid machines in better understanding human languages.,Dublin,Dublin,2010.0,Parsa Ghaffari,"Artificial Intelligence, Big Data, Machine Learning, Natural Language Processing, Text Analytics",11-50,"$9,333,895",7.0,6.0,"[""SOSV"", ""Enterprise Ireland"", ""Chinaccelerator"", ""Finch Capital"", ""Atlantic Bridge University Fund""]",https://www.failory.com/startups/ireland,11.0,50.0,9333895.0,"[""Artificial Intelligence"", ""Big Data"", ""Machine Learning"", ""Natural Language Processing"", ""Text Analytics""]","[""Parsa Ghaffari""]",AYLIEN is an artificial intelligence business that develops technology to aid machines in better understanding human languages.,aylien artificial intelligence business develops technology aid machines better understanding human languages,10
27,Ireland,HealthBeacon,HealthBeacon is a linked health care gadget that encourages patients to take their self-injectable drugs as prescribed.,Dublin,Dublin,2013.0,"Jim Joyce, Kieran Daly","Health Care, Medical, Medical Device",11-50,"$20,813,416",4.0,7.0,"[""Enterprise Ireland"", ""Cantor Fitzgerald"", ""Elkstone Capital Partners"", ""Manatt Venture Fund"", ""Oyster Capital Partners""]",https://www.failory.com/startups/ireland,11.0,50.0,20813416.0,"[""Health Care"", ""Medical"", ""Medical Device""]","[""Jim Joyce"", ""Kieran Daly""]",HealthBeacon is a linked health care gadget that encourages patients to take their self-injectable drugs as prescribed.,healthbeacon linked health care gadget encourages patients take self injectable drugs prescribed,2
28,Ireland,Workvivo,Workvivo is an internal communications platform that allows firms to interact and connect with their employees.,Cork,Cork,2017.0,"Joe Lennon, John Goulding","Computer, Human Resources, Information Technology, Internet, Software",11-50,"$16,550,600",2.0,4.0,"[""Tiger Global Management"", ""Enterprise Ireland"", ""Eric Yuan"", ""Frontline Ventures""]",https://www.failory.com/startups/ireland,11.0,50.0,16550600.0,"[""Computer"", ""Human Resources"", ""Information Technology"", ""Internet"", ""Software""]","[""Joe Lennon"", ""John Goulding""]",Workvivo is an internal communications platform that allows firms to interact and connect with their employees.,workvivo internal communications platform allows firms interact connect employees,11
29,Ireland,Everseen,Everseen is a pioneer in the use of visual AI to shape business processes.,Cork,Cork,2007.0,Alan O'Herlihy,"Analytics, Artificial Intelligence, Information Technology, Machine Learning, Video",101-250,"$17,449,126",3.0,2.0,"[""Ray Coyle"", ""Carl McCann""]",https://www.failory.com/startups/ireland,101.0,250.0,17449126.0,"[""Analytics"", ""Artificial Intelligence"", ""Information Technology"", ""Machine Learning"", ""Video""]","[""Alan O'Herlihy""]",Everseen is a pioneer in the use of visual AI to shape business processes.,everseen pioneer use visual ai shape business processes,10
30,Ireland,Mainstream Renewable Power,Mainstream Renewable Energy specializes in renewable and alternative energy project design and management.,Dublin,Sandyford,2008.0,Eddie Connor,"Energy, Oil and Gas, Renewable Energy",101-250,"$1,007,518,037",6.0,9.0,"[""IDB Invest"", ""Marubeni"", ""Barclays Investment Bank"", ""MUFG Bank"", ""DNB""]",https://www.failory.com/startups/ireland,101.0,250.0,1007518037.0,"[""Energy"", ""Oil and Gas"", ""Renewable Energy""]","[""Eddie Connor""]",Mainstream Renewable Energy specializes in renewable and alternative energy project design and management.,mainstream renewable energy specializes renewable alternative energy project design management,0
31,Ireland,Pointy,"Pointy assists businesses by getting their items online, allowing them to be found by anyone searching the internet.",Dublin,Dublin,2014.0,"Charles Bibby, Mark Cummins","E-Commerce, Internet, Software, Technical Support, Web Design, Wireless",51-100,"$19,200,000",5.0,8.0,"[""Polaris Partners"", ""Seedcamp"", ""LocalGlobe"", ""Vulcan Capital"", ""Draper Associates""]",https://www.failory.com/startups/ireland,51.0,100.0,19200000.0,"[""E-Commerce"", ""Internet"", ""Software"", ""Technical Support"", ""Web Design"", ""Wireless""]","[""Charles Bibby"", ""Mark Cummins""]","Pointy assists businesses by getting their items online, allowing them to be found by anyone searching the internet.",pointy assists businesses getting items online allowing found anyone searching internet,-1
32,Ireland,Boxever,Boxever is a digital optimization tool that helps organizations make every customer encounter smarter by combining data and artificial intelligence.,Dublin,Dublin,2011.0,"Alan Giles, Dave O'Flanagan, Dermot O'Connor","Analytics, Artificial Intelligence, Big Data, Personalization, SaaS, Software, Travel",51-100,"$19,000,000",4.0,10.0,"[""Polaris Partners"", ""Enterprise Ireland"", ""Silicon Valley Bank"", ""Tribal.vc"", ""NDRC""]",https://www.failory.com/startups/ireland,51.0,100.0,19000000.0,"[""Analytics"", ""Artificial Intelligence"", ""Big Data"", ""Personalization"", ""SaaS"", ""Software"", ""Travel""]","[""Alan Giles"", ""Dave O'Flanagan"", ""Dermot O'Connor""]",Boxever is a digital optimization tool that helps organizations make every customer encounter smarter by combining data and artificial intelligence.,boxever digital optimization tool helps organizations make every customer encounter smarter combining data artificial intelligence,10
34,Ireland,Keelvar,Intelligent Sourcing Automation and Advanced Sourcing Optimization,Cork,Cork,2012.0,Alan Holland,"Procurement, SaaS, Software",11-50,,2.0,6.0,"[""Enterprise Ireland"", ""Elephant"", ""Paua Ventures"", ""Mosaic"", ""Act Venture Capital""]",https://www.failory.com/startups/ireland,11.0,50.0,,"[""Procurement"", ""SaaS"", ""Software""]","[""Alan Holland""]",Intelligent Sourcing Automation and Advanced Sourcing Optimization,intelligent sourcing automation advanced sourcing optimization,10
